valueID,note
b_000,Can not get static files from Azure service
b_001,Missing Competencies in UI
b_002,Show [Job Level] Description 1 (label = Job Tasks) if no Matrix relevant data is found
b_003,Wording forgot password incorrect
b_004,Change initial junction page and remove button [certificate validation]
b_005,Error message lost focus not correct
b_006,Error message login
b_007,Sign out button not available
b_008,Azure App Service ASP.NET core Request Host is not resolved correctly
b_009,Error message lost focus not correct
b_010,Ethereum client (Geth v1.8) consumes a lot of memory during deployment of multiple certificate.
b_011,Translation error sign in page (GERMAN)
b_012,Wrong and missing error message at sign-in page
b_013,Error message after wrong data entry
b_014,Error message wrong data entry
b_015,Emailadress to send emails still gmail account
b_016,Could not test change password page due to not receiving email to change password
b_017,Error message on German site not correct
b_018,Missing translations
b_019,Password rule violation not working
b_020,Wrong email message shown
b_021,Correct subject of reset password email
b_022,Contact link not working
b_023,"No action, if clicking on change password link"
b_024,Error message after entering valid but wrong information
b_025,Incorrect wording (DE) in change password page
b_026,Password rule violation not working
b_027,Password rule violation not working
b_028,Could not test EN version with change password.
b_029,(DE) Missing translation for mandatory information
b_030,Translation errors
b_031,Translation errors
b_032,Color in state Ensuring not according to styleguide
b_033,Date format for date of birth not correct
b_034,Correct error message for failed certificates
b_035,Pagination: Please adjust color of icons
b_036,Missing 3 dot icon in state of ensuring
b_037,Sort function not work properly according to the requirement
b_038,Wrong sign recognition
b_039,Grammar error in message
b_040,Indicate that student ID can not be changed
b_041,Typing error in message
b_042,Heading wrong
b_043,Can not proceed after step1
b_044,Duplicate check prevents update of certificate
b_045,Wrong error message
b_046,Grammar error in message
b_047,Grammar mistakes in error message
b_048,Wrong row numbers shown
b_049,Wrong URL for validation
b_050,Missing Translation for Button [Delete]
b_051,Wrong color for Degree
b_052,Searching by full name not working right
b_053,Translation error in DE Version
b_054,Grades Missing on review page
b_055,Spelling error in error message
b_056,Date on cost overview PDF not shown 
b_057,Spelling error bank name
b_058,QR-code does not work on mobile phone and link not on laptop
b_059,"Adjust DE message, if no certificate with status exists"
b_060,Missing space in Blockchain PDF
b_061,Wrong Error Message after Account blocking
b_062,Design error in message display (DE)
b_063,No error message at retry all
b_064,"Certificates failed to retry should transit to ""EnsureFailed"" instead of ""Ensuring"""
b_065,Incorrect return response on Validation page after delete a certificate
b_066,Validation via QR-Code & Smartphone not working correctly
b_067,Unable to ensure a certificate in QA
b_068,Transaction register for Certificate Issuer is showing wrong figures
b_069,"Fix ""Pending transaction"" in ethereum node (Devtest)"
b_070,Fix the tenantId is not used correctly
b_071,Can not Ensure a single certificate in mainnet
b_072,Can not ensure multiple certificates in mainnet
b_073,Optimize the size of validation page on mobile device
b_074,IE - Can not load .otf font on validation page
b_075,Wrong Link to Etherscan in certificate details
b_076,Wrong time range in PDF 
b_077,New Account on QA not working
b_078,Retry of failed update always points to old smart contract address
b_079,translation error
b_080,"Missing translation in ""Issued date is after expired day error"""
b_081,Fix defaultGasLimit config for ensuring certificate.
b_082,EventLog provider is not available in AppService.
b_083,Fix underscore in downloaded file name of KMU's certificate
b_084,Incorrect blockchain link in PDF file
b_085,Display Step 2 adjustment
b_086,Adjustment of Blockchain PDF Layout
b_087,KMU's downloaded report also includes transactions from CERTIVATION
b_088,Import file does not work if cancel on file dialog in KMU multiple register
b_089,Stepper navigation header doesn't trigger necessary validation at certain steps
b_090,"Missing ""s"" in Admin bread crumb bar"
b_091,"""Retry All"" button should not be disabled when downloading"
b_092,Disabled button should not be hovered
b_093,Disable print button when page loading (Admin transaction report)
b_094,"Should not enable ""Change password"" button when inputs are empty"
b_095,Page flickering when progress bar is toggled (Admin page)
b_096,Vertical center alignment in column title (Admin transaction report)
b_097,Adjust distance in Step 4 of Certivation certificate register
b_098,Wrong layout in blockchain validation page not found in Iframe
b_099,"Remove "".csv"" support from stepper notificcation in KMU multiple entry stepper"
b_100,Ensure multiple certificate doesn't show estimation cost
b_101,Auto resize for iframe to match with application height
b_102,User input invalid data input fields Failed
b_103,[UI][Multi upload] Unable to upload same file twice if using clear (x) button
b_104,No cost policy applied when accessing KMU Transaction Register as a Certificate Admin
b_105,Admin transaction report template was downloaded when downloading KMU Transaction Register as a Certificate Admin
b_106,Missing i18n for Date picker in CERTIVATION transaction register
b_107,Newline character in scope field in enter certivation certificate
b_108,Transaction cost not updated when upload multiple certificate
b_109,[Back end] Download with filter in Tx Report (Admin) doesn't apply filter in downloaded file 
b_110,[Front end] Download with filter in Tx Report (Admin) doesn't apply filter in downloaded file 
b_111,Transaction register in admin shown NaN in Transaction cost
b_112,Calling certificate type endpoint return empty array of type
b_113,Transaction register in admin shown NaN in Transaction cost (Front-end)
b_114,Wrong name of downloaded transaction report with customer filter
b_115,Should disable print transaction report button when there is no transaction (Transaction register Admin)
b_116,Incorrect start date shown in transaction report without date range filter
b_117,GasPriceService does not recover after encounter Exception
b_118,Still able to enter duplicate Individual Certificate when studentId contain space at the beginning and end
b_119,Clear input button still showing when there is no file name (KMU multiple upload)
b_120,"Wrong order of label in ""In file error"" dialog in Multiple upload with ""invalid data"" error"
b_121,Upload empty excel file not handled in KMU multiple upload
b_122,"Incorrect text binding in ""duplicate in system"" error with KMU multiple upload"
b_123,KMU single certificate ensure: modify student ID doesn't re-run duplicate check when navigating by stepper header
b_124,Scoreboard content not showing when updating certificate that has course item that contains year in KMU
b_125,Wrong column in CERTIVATION transaction report PDF
b_126,Attribute is not included in the CertificateAttributeValue property of Certificate
b_127,Should disable print transaction cost button before page finishes loading
b_128,Certificate fails to delete is shown as 'undefined'
b_129,Multiple clicking on Auth0 Sign In page leads to error page
b_130,Too long char of one word of certificate scope causes scroll bar in duplicate dialog
b_131,DevTests and QA pipeline sometimes cannot addRosenAdmin/addAdmin
b_132,User cannot edit user profile
b_133,Update KMU certificate: Edit but not modify score board item but check for unchange failed
b_134,KMU multiple certificate: wrap reason on duplicate dialog
b_135,[Backend] Uncaught error inside BackgroundReceiptQueryService
b_136,Cost in estimation cost report is too long
b_137,Issue with emp-api-dev GET Users/GetUserProfile
b_138,Issue with emp-api-dev GET Users/GetProfileImageAsync
b_139,Issue with emp-api-dev GET Users/GetProfileAvatarAsync
b_140,"Page is not displayed right when user click on ""Discard changes"""
b_141,User can not press save button when phone number contains space
b_142,Degree in duplicate dialog breaks line
b_143,Wrong etherscan url for KMU pdf template
b_144,"Log in with certivation issuer account, it shows blank page"
b_145,Investigate in fixing failed to validate a certificate
b_146,User uploads an image which larger than 6 megabytes Failed
b_147,User deletes his profile image and avatar Failed
b_148,Certificate failed to validate on production
b_149,Verify does not work on some browser when language setting is Germany
b_150,StudentID & degree is disabled when ensure certificate
b_151,Wrong width of sign-in form on Firefox / IE
b_152,Wrong Language: display confirmation popup when user navigates away from an editing form
b_153,Wrong Language: Display confirmation popup when user reloads page when editing a form
b_154,"Wrong Message: [Enter multiple certificate] Limit file type to be accepted in upload form to xlsx, xls only"
b_155,Wrong Language: Add tooltip to describe icon buttonso
b_156,No error message: [Enter multiple certificate] Return invalid data error if original certificate ID isn't correctly combined per defined rule (studentID;Degree)
b_157,No error message: [Enter multiple certificate] Return invalid data error if year of course isn't correctly format. Correct format is text
b_158,Scroll to top when switch page
b_159,Scroll to top when navigating between pages of certificates or transactions doesn't actually scroll to top
b_160,Fail to retry certificate in case gas is insufficient and then funded again
b_161,Missing dots in transaction id collumn in admin transaction register template
b_162,Transaction register: PDF download format error
b_163,Transaction register: Does not show delete certificates at all
b_164,Search input of Overview page is not correctly scaled when filter by ensured or failed
b_165,Upload profile image return 400 when image has very small size
b_166,"Auth0 says ""Oops! something went wrong"" when user log in"
b_167,Download All Function does not work
b_168,Massupload with Excel File does not work with German setting
b_169,Issue with emp-api-dev GET /api/users/profile-images/profileimage
b_170,[Test] Email field is not filled with data when user sign in
b_171,[Test] Expected message is incorrect
b_172,Certificate PDF not generated nor uploaded to AzureBlob
b_173,API AppService can not start due to missing configuration (STA)
b_174,Cannot navigate from Sign in page to Landing page when account is saved in browser
b_175,Auth0 take too long to respond when APP get authorize status & token
b_176,Cannot close dialog when click on [Create tenant]
b_177,[Sort] condition should only capitalize the first character
b_178,Bad user experience with two scroll bars
b_179,Junk sample data 
b_180,[User experience] Unresponsiveness while loading data
b_181,Warning is not shown when user enters something & click [Discard] button
b_182,A new tenant is not created when enter required fields with space & valid email +phone number
b_183,Wrong color of [Discard]
b_184,Form returns the warning when entering a valid phone number length
b_185,UI does not update [Sort] + [Order] condition
b_186,UI displays comma even though the tenant does not have [State]
b_187,[User Experience] Table header disappears while scrolling
b_188,[User experience] Card views of services don't have the shadow
b_189,UI does not display ellipsis and tooltip when enter a continuous long string for Company Name
b_190,API responses even though parameter was incorrect
b_191,Static content is incorrect [REGULAR PATRON]
b_192,The loading bar is still visible even when back to the Launcher page
b_193,The page title is incorrect [Landing Page]
b_194,[View all tenants] Dropdown item wrong padding
b_195,[View all tenants] Create tenant button wrong padding
b_196,[View all tenants]  The arrow icon at sorting method's padding is wrong
b_197,[Create new tenant] Static content is incorrect [CREATE TENANT]
b_198,[View all users] Two scroll bars are displayed with the default setting
b_199,[Sign in] Sign in flow is incorrect
b_200,[Login] Sign in button position is not the same as design
b_201,[Login] Font of warning message is not the same as design
b_202,[Login] Placeholder color is not the same as design
b_203,[Login] Position of warning message is not the same as design
b_204,[Login] Wrong navigation when using bookmark
b_205,[Create new tenant] Enter invalid data then correct it by entering valid data but cannot create tenant
b_206,[View all tenants] Tooltip displays ellipsis with long strings
b_207,[View all tenants] The card shadow is cut at the end of the tenant list
b_208,PDF template: Wrong text in certivation pdf 
b_209,[BE] Parse DateTime in AutoMapper error for different machines
b_210,Distance between elements is not the same as design
b_211,The number of logins between the message and the configuration in Auth0 is not the same
b_212,"[Create new user] Enter invalid DoB then delete DoB, the input shows warning and invalid data"
b_213,[Create new user] Warnings are not displayed despite user interaction with the browser
b_214,[Create new user] The new user is not created without any warning
b_215,[Account activation] Events that occur while user is entering data is not caught
b_216,[Create new user] DoB becomes valid when changing date in laptop/computer
b_217,[User Overview] Sorting is incorrect
b_218,[Create new user] Tool tips displays ellipsis with long strings
b_219,[Create new user] User can be created though the email is existed in the system
b_220,[Create new user] Inconsistent behavior when checking email addresses is unique
b_221,[Create new user] Both warning messages are displayed with the long space string
b_222,[Login] Login with Global admin account but the app is navigated to User Launcher page
b_223,[Forgot password] Wrong padding of [Reset password] button in Outlook
b_224,[Create new tenant] Cannot create new tenant with valid data
b_225,[Tenant detail page] UI does not display [n/a] for null values
b_226,[View all tenant] The cursor displayed as pointer but cannot click anything
b_227,[Tenant detail page] Border radius of container is not the same as the design
b_228,[Tenant detail page] Two scroll bars are displayed if the data is a long string
b_229,[Tenant detail page] There is no tooltip when hovering over Company name
b_230,[Create new user] Warning message is displayed if a valid Company name is entered but not selected in the list
b_231,[Tenant detail page] The Tenant Management label in the breadcrumb displayed ellipsis though on large view port
b_232,[Tenant detail page] Template is not the same as the design when changing to smaller view port
